"query","search interest","increase percent"
"marcos pollon",100,"-20%"
"polon",58,"0%"
"deputado pollon",27,"-50%"
"deputado polon",9,"-70%"
"deputado marcos pollon",8,"-80%"
"marcos polon",3,"-90%"
